"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT03788213","One Week Versus Three Week in Adjuvant Radiotherapy in Breast Cancer","HYPORTAdjuvant","Recruiting","No Results Available","Breast Cancer Female","Radiation: 3 week RT|Radiation: 1 week RT","Locoregional Recurrence Rate (LRR)|Overall Survival (OS )|Invasive Disease Free Survival ( iDFS )|Adverse Event ( AE )|Quality of Life ( QoL )","Tata Medical Center|Christian Medical College, Vellore, India|Sanjay Gandhi Postgraduate Institute of Medical Sciences","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","2100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2018/TMC/133/IRB/31","March 26, 2019","March 26, 2029","March 26, 2029","December 27, 2018",,"December 17, 2021","Sanjoy Chatterjee, Kolkata, West Bengal, India",,"https://ClinicalTrials.gov/show/NCT03788213"
12,"NCT04588909","Outcomes of Elective Colorectal Cancer Surgery During COVID 19 Pandemic: Implications for Cancer Care Policy",,"Active, not recruiting","No Results Available","Colo-rectal Cancer","Procedure: Colorectal resections","Early post operative mortality|Early Post operative complications|Incidence of SARS CoV2 infectivity among health care providers providing direct care to involved patients|Rate of hospital acquired SARS CoV 2 infection among operated patients.","Sheri Kashmir Institute of Medical Sciences","All","Child, Adult, Older Adult",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","73/2020 (Supl 2)","March 23, 2020","September 22, 2020","October 22, 2020","October 19, 2020",,"October 19, 2020","Sher i Kashmir Institute of Medical Sciences, Srinagar, J&K, India",,"https://ClinicalTrials.gov/show/NCT04588909"
13,"NCT05258747","A Crossover Bioequivalence Study of Olaparib Tablets, 150 mg (Lek Pharmaceuticals d.d.) and Lynparza® (Olaparib) Tablets 150 mg (AstraZeneca Pharmaceuticals LP), in Patients With BRCA Mutated Ovarian Cancer, Recurrent Ovarian Cancer or Metastatic Breast Cancer",,"Recruiting","No Results Available","Ovarian Cancer|Breast Cancer","Drug: Olaparib tablets, 150 mg|Drug: Lynparza® (olaparib) tablets 150 mg","Maximum plasma concentration during the dosing interval at steady state (CmaxSS)|Area under the plasma concentration versus time curve for one dosing interval at steady state (AUC(0-t)ss)|Number of adverse events and serious adverse events","Sandoz","Female","18 Years to 85 Years   (Adult, Older Adult)","Phase 1","70","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other","21-VIN-0166/SAN-0647","April 7, 2022","February 15, 2023","February 15, 2023","February 28, 2022",,"April 19, 2022","Sandoz Investigative Site, Vijayawada, Andhra Pradesh, India",,"https://ClinicalTrials.gov/show/NCT05258747"
14,"NCT03909620","Utility of LDCT in Lung Cancer Screening in a TB Endemic Region",,"Completed","No Results Available","Lung Cancer","Diagnostic Test: Low-dose computed tomography of chest","Positivity rate with LDCT screening|Rate of detection of lung cancer|False positive rate|Proportion of patients requiring additional procedures (imaging/invasive procedures)|Proportion of patients developing complications due to additional procedures|Change in the 6-item Spielberger State-Trait Anxiety Inventory (STAI-6) questionnaire score|Cost in Indian Rupees to detect one case of lung cancer by LDCT screening|Proportion of patients who quit/re-initiated smoking after inclusion in study","Postgraduate Institute of Medical Education and Research","All","50 Years to 74 Years   (Adult, Older Adult)","Not Applicable","253","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Screening","NK/5292/DM/760","May 1, 2019","March 31, 2020","December 31, 2021","April 10, 2019",,"March 29, 2022","Postgraduate Institute of Medical Education and Research (PGIMER), Chandigarh, India",,"https://ClinicalTrials.gov/show/NCT03909620"
15,"NCT01769950","Choline-PET for Evaluating the Incidence of Nodal Metastases Among Newly Diagnosed Patients of Prostate Cancer","ChoPEN","Unknown status","No Results Available","Prostate Cancer","Other: Choline-PET","Detection of Choline-PET detected nodal metastases|Comparison of Choline-PET and CT for the detection of nodal metastatic disease|Comparison of Choline-PET and MRI for the detection of nodal metastatic disease","Bangalore Institute of Oncology","Male","Child, Adult, Older Adult","Not Applicable","120","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","Choline-Prostate-1","January 2013","January 2014","February 2014","January 17, 2013",,"January 17, 2013","HealthCare Global- Bangalore Institute of Oncology, Bengaluru, Karnataka, India",,"https://ClinicalTrials.gov/show/NCT01769950"
16,"NCT03519165","Restrictive or Individualized Goal-Directed Fluid Replacement Strategy in Ovarian Cancer Cytoreductive Surgery","RIGoROCS","Completed","No Results Available","Ovarian Cancer","Device: EV1000(FloTrac System 4.0)","Postoperative length of Stay (LOS) in hospital in days|Cost of treatment|Post operative morbidity survey (POMS survey)|30 day morbidity and mortality","Tata Medical Center","Female","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","145","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","EC/TMC/56/15","June 2016","June 2019","September 2019","May 8, 2018",,"January 31, 2020","Tata Medical Centre, Kolkata, West Bengal, India",,"https://ClinicalTrials.gov/show/NCT03519165"
17,"NCT00128362","Sentinel Node Biopsy and Axillary Sampling in Operable Breast Cancer",,"Terminated","No Results Available","Cancer of the Breast","Procedure: Radio-guided sentinel node biopsy|Procedure: Axillary sampling","Comparison of methodologies in predicting status of axillary lymph nodes|Number of lymph nodes identified by sentinel node biopsy and axillary sampling|Number of times the sentinel node is found within the sampled nodes|False negative rate by each method|Negative predictive value for each method","Tata Memorial Hospital|Indian Council of Medical Research","Female","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","478","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","TMH/115/2003|No.5/13/66/2003-NCD-III","September 2005","December 2011",,"August 9, 2005",,"June 24, 2014","Tata Memorial Hospital, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT00128362"
18,"NCT01133067","Telephonic Contact and Subsequent Physical Follow up Treated Lung Cancer Patients","TELE001","Completed","Has Results","Lung Cancer",,"Concurrence Between the Telephonic Interview and the Physician Assessment|Cost Analysis","Tata Memorial Hospital","All","18 Years to 90 Years   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","PROJECT NO 754","July 2010","July 2016","July 2016","May 28, 2010","August 7, 2018","August 7, 2018","Tata Memorial Hospital, Mumbai, MS, India",,"https://ClinicalTrials.gov/show/NCT01133067"
19,"NCT03005743","Image Based Brachytherapy in Locally Advanced Cervical Cancers - a Randomized Controlled Trial","COMBAT-Cx","Recruiting","No Results Available","Cervical Cancer","Radiation: Magnetic Resonance Image based Brachytherapy|Radiation: Conventional Radiograph based Brachytherapy","Local control|Late toxicities|Pelvic control rates|Distant failure rates|Progression free & cause specific survival|Overall survival|Quality of life questionnaire EORTC QLQ C30|Quality life questionnaire EORTC QLQ CX24","Tata Memorial Hospital","Female","Child, Adult, Older Adult","Not Applicable","1050","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TMH-1587","December 2016","December 2021","December 2023","December 29, 2016",,"January 23, 2018","Tata Memorial Hospital, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT03005743"
20,"NCT00193726","Estrogen Priming to Increase the Efficacy of Adjuvant Chemotherapy in Operable Breast Cancer",,"Terminated","No Results Available","Breast Cancer","Drug: Tab Premarin (Ethinyl estradiol)|Drug: Placebo","Disease Free Survival|Overall Survival","Sudeep Gupta|Tata Memorial Hospital","Female","18 Years to 70 Years   (Adult, Older Adult)","Phase 3","273","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","122 of 2003","July 2005","March 30, 2012","March 30, 2012","September 19, 2005",,"September 20, 2018","Tata Memorial Hospital, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT00193726"
21,"NCT00193778","Assessing Impact of Loco-regional Treatment on Survival in Metastatic Breast Cancer at Presentation",,"Completed","No Results Available","Cancer of the Breast","Procedure: Surgery for breast cancer|Other: No Loco-regional treatment","Overall survival|Progression free survival|Changes in VEGF, bFGF, Angiostatin and Endostatin","Tata Memorial Hospital","Female","21 Years to 65 Years   (Adult, Older Adult)","Not Applicable","350","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TMH/153/2004","February 2005","July 30, 2020","July 30, 2020","September 19, 2005",,"October 8, 2020","Tata Memorial Hospital, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT00193778"
22,"NCT01935466","Risk of Bladder Cancer in Type 2 Diabetes Patients With Pioglitazone Therapy ""PROBE""","PROBE-PIO","Completed","No Results Available","Bladder Cancer","Drug: Pioglitazone","Bladder cancer rate","Postgraduate Institute of Medical Education and Research","Male","50 Years and older   (Adult, Older Adult)",,"6107","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","PROBEPIO","July 2013","October 2021","October 2021","September 5, 2013",,"January 25, 2022","Deptt of Endocrinology, Chandigarh, India",,"https://ClinicalTrials.gov/show/NCT01935466"
23,"NCT00772824","Study of the Effect of Glutamine Supplementation on Chemotherapy Induced Toxicities in Breast Cancer Patients",,"Completed","No Results Available","Breast Cancer","Dietary Supplement: Glutamine|Dietary Supplement: IV Glutamine","Reduction in toxicity|Serum level of creatinine kinase and LDH","Banaras Hindu University","Female","18 Years to 85 Years   (Adult, Older Adult)","Phase 4","23","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","GLU_07","December 2007","December 2009","December 2009","October 15, 2008",,"July 17, 2018","Sir Sunder Lal Hospital, Varanasi, UP, India",,"https://ClinicalTrials.gov/show/NCT00772824"
24,"NCT04072718","Simultaneous Integrated Boost With Volumetric Arc Radiotherapy in Patients With Breast Cancer","SIBART-BC","Completed","No Results Available","Breast Cancer","Radiation: Radiotherapy","Acute radiation toxicities|cosmetic score analysis|local control|Late toxicity","Postgraduate Institute of Medical Education and Research","Female","18 Years to 60 Years   (Adult)","Phase 2","27","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","INT/IEC/2017/127","August 10, 2017","March 31, 2020","March 31, 2020","August 28, 2019",,"July 14, 2020","Dr Budhi Singh Yadav, Chandigarh, India",,"https://ClinicalTrials.gov/show/NCT04072718"
25,"NCT03936933","Pharmacodynamic Study Goserelin 3.6mg Injection Administered Subcutaneously in Premenopausal Patients With Breast Cancer",,"Recruiting","No Results Available","Breast Cancer","Drug: Goserelin acetate 3.6 mg Injection|Drug: ZOLADEX® 3.6mg Injection","To evaluate and compare the pharmacodynamics","Eurofarma Laboratorios S.A.","Female","18 Years to 59 Years   (Adult)","Phase 3","68","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EF 160","January 1, 2021","December 1, 2022","December 1, 2022","May 3, 2019",,"January 27, 2022","Mahatma Gandhi Cancer Hospital & Research Institute, Visakhapatnam, Andhra Pradesh, India",,"https://ClinicalTrials.gov/show/NCT03936933"
26,"NCT04249895","Comprehensive Digital Archive of Cancer Imaging-Radiation Oncology( CHAVI-RO )",,"Completed","No Results Available","All Cancer",,"Number of patients with complete data safe.","Tata Medical Center","All","Child, Adult, Older Adult",,"500","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","EC/GOVT/24/IRB23","August 31, 2018","February 28, 2021","February 28, 2021","January 31, 2020",,"December 17, 2021","Sanjoy Chatterjee, Kolkata, West Bengal, India",,"https://ClinicalTrials.gov/show/NCT04249895"
27,"NCT00123669","Primary Progesterone Therapy for Operable Breast Cancer",,"Completed","No Results Available","Breast Neoplasms","Drug: 500 mg of depot hydroxy-progesterone","To test the effect of primary progesterone in operable breast cancer on overall and disease free survival at 5 years","Tata Memorial Hospital|Ministry of Science and Technology, India","Female","18 Years to 75 Years   (Adult, Older Adult)","Phase 2|Phase 3","1000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","No. SP/SO/B29/2000","October 1997","May 29, 2020","May 29, 2020","July 25, 2005",,"July 22, 2020","Tata Memorial Hospital, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT00123669"
28,"NCT02804477","Validation and Assessment of Patient Adherence to Opioids for Cancer Pain Using MMAS 8 Pain Clinic",,"Completed","No Results Available","Chronic Cancer Pain",,"validation and assessment of adherence to opioids for chronic cancer pain in pain clinic using Morisky medication adherence scale 8|relationship of adherence to opioids with demographic characteristics","Tata Memorial Centre","All","18 Years to 80 Years   (Adult, Older Adult)",,"330","Other","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","TataMC 1680","June 2016","November 2016","January 2017","June 17, 2016",,"April 26, 2017","Tata Memorial Hospital, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT02804477"
29,"NCT04351009","Sentinel Lymph Node Mapping and Analysis in Colon Cancer Using Indocyanine Green Dye",,"Recruiting","No Results Available","Colon Cancer","Procedure: sentinel lymph node mapping","Detection rate|Upstaging rate|Accuracy|Negative predictive value|Aberrant lymph node drainage","Asian Institute of Gastroenterology, India","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","32","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","ICG001","June 8, 2020","June 30, 2022","June 30, 2022","April 17, 2020",,"January 18, 2022","Asian Institute of Gastroenterology, Hyderabad, Telangana, India",,"https://ClinicalTrials.gov/show/NCT04351009"
30,"NCT02302105","Randomized Trial of Prostate Only or Pelvic RT in High Risk Prostate Cancer","POP-RT","Active, not recruiting","No Results Available","Prostate Cancer","Radiation: IGRT","Biochemical Disease Free Survival","Tata Memorial Centre","Male","Child, Adult, Older Adult","Not Applicable","224","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","POP-RT","November 25, 2011","October 23, 2025","October 23, 2025","November 26, 2014",,"November 23, 2021","Dr Vedang Murthy, Navi-Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT02302105"
31,"NCT03669432","To Study the Impact of Radiation Treatment After Surgery in Patient With Locally Advanced Thyroid Cancer.","THYRO-RT","Active, not recruiting","No Results Available","Thyroid Cancer Stage IV|Radiation Toxicity","Radiation: Intensity Modulated Radiotherapy|Procedure: Surgery alone","locoregional recurrence|acute toxicity|late toxicity","Tata Memorial Hospital|Department of Atomic Energy","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","72","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1076","July 2013","July 2026","July 2026","September 13, 2018",,"May 2, 2022","Gouri Pantvaidya, Mumbai, Maharashtra, India","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/32/NCT03669432/Prot_SAP_001.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/32/NCT03669432/ICF_000.pdf","https://ClinicalTrials.gov/show/NCT03669432"
32,"NCT05102240","Development of Clinically High Efficient Platforms for Individualised Treatment of Cervix Cancer",,"Not yet recruiting","No Results Available","Cervix Cancer",,"Generation of software for automated target delineation for cervix cancer|Development and validation of Normal Tissue Complication Plots|Identify ""high risk patient population"" that may benefit from intensification of treatment in future","Tata Memorial Hospital|Bhabha Atomic Research Centre and Indian Institute of Technology, Mumbai.|Erasmus Medical Center","Female","18 Years to 90 Years   (Adult, Older Adult)",,"1800","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","TMC IRB 900787|CTRI/2021/08/035810","February 2022","September 2024","September 2024","November 1, 2021",,"February 14, 2022","Advanced Centre of Treatment Research and Education In Cancer,Tata Memorial Centre, Navi Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT05102240"
33,"NCT03005860","Effect of TIVA Propofol vs Sevoflurane Anaesthetic on Serum Biomarkers and on PBMCs in Breast Cancer Surgery",,"Unknown status","No Results Available","Female Breast Cancer","Drug: 2,6-Diisopropylphenol|Drug: Fluoromethyl hexafluoroisopropyl ether|Drug: Fentanyl Citrate|Drug: Atracurium Besylate","Change in baseline levels versus 24 hour postoperative levels (Tpre vs T24h ) of serum HIF-1a and VEGF-C in both groups.|Change in levels of serum biomarkers HIF-1a & VEGF-C in patients with breast cancer undergoing resection surgery at other time points - intraoperative, at 2hr postoperative. Ti, T2h in both groups.|Change in levels of serum biomarkers TGF-β, IL-17 IFN-g, TNF-a, IL-6 and MMP-2 at the four time points in both groups.|Measure expression of various lymphocyte subsets (CD3+ T cells, CD4+ helper T cells, CD8+ cytotoxic T cells, γδT cells, NK cells and B cells peripheral blood lymphocytes at four time points","Tata Memorial Centre","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care","PN 219","February 2017","January 2018","February 2018","December 29, 2016",,"January 16, 2017","Tata Memorial Centre, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT03005860"
34,"NCT03936218","Goserelin 10.8mg Injection in Treatment of Advanced Prostate Cancer",,"Recruiting","No Results Available","Advanced Prostate Cancer","Drug: Inj. Goserelin (Test) Subcutaneously|Drug: Inj. Zoladex (Reference) Subcutaneously","To evaluate and compare the pharmacodynamics of test product against reference product and establish non inferiority.","Eurofarma Laboratorios S.A.","Male","18 Years to 75 Years   (Adult, Older Adult)","Phase 3","94","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EF 161","January 1, 2021","December 1, 2022","December 1, 2022","May 3, 2019",,"January 27, 2022","Mahatma Gandhi Cancer Hospital & Research Institute, Visakhapatnam, Andhra Pradesh, India",,"https://ClinicalTrials.gov/show/NCT03936218"
35,"NCT01814345","Her 2 Testing in Indian Patients With Gastric Cancer",,"Terminated","No Results Available","Gastric Cancer",,"Incidence of Her2 testing in Gastric cancer","Tata Memorial Hospital","All","18 Years to 90 Years   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Other|Time Perspective: Prospective","1077|Her 2 in gastric cancer","June 2013","February 2017","February 2017","March 19, 2013",,"April 27, 2017","Tata Memorial Hospital, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT01814345"
36,"NCT03168880","A Randomized Controlled Trial of Neoadjuvant Weekly Paclitaxel Versus Weekly Paclitaxel Plus Weekly Carboplatin In Women With Large Operable or Locally Advanced, Triple Negative Breast Cancer","TNBC","Active, not recruiting","No Results Available","Triple Negative Breast Cancer","Drug: Paclitaxel + Carboplatin|Drug: Paclitaxel only","DFS|OS","Tata Memorial Hospital","Female","18 Years to 70 Years   (Adult, Older Adult)","Phase 3","720","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CTRI/2012/07/002802","April 2010","November 30, 2022","November 30, 2024","May 30, 2017",,"April 27, 2022","Tata memorial Centre, Mumbai, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT03168880"
