,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,Cancer Type
25,26,NCT04249895,comprehensive digital archive of cancer imaging-radiation oncology( chavi-ro ),,Completed,No Results Available,all cancer,,number of patients with complete data safe.,tata medical center,All,"Child, Adult, Older Adult",,500.0,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,EC/GOVT/24/IRB23,"August 31, 2018","February 28, 2021","February 28, 2021","January 31, 2020",,"December 17, 2021","['sanjoy chatterjee, kolkata, west bengal, india']",,https://ClinicalTrials.gov/show/NCT04249895,
26,27,NCT00123669,primary progesterone therapy for operable breast cancer,,Completed,No Results Available,breast neoplasms,drug: 500 mg of depot hydroxy-progesterone,to test the effect of primary progesterone in operable breast cancer on overall and disease free survival at 5 years,"tata memorial hospital|ministry of science and technology, india",Female,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2|Phase 3,1000.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,No. SP/SO/B29/2000,October 1997,"May 29, 2020","May 29, 2020","July 25, 2005",,"July 22, 2020","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT00123669,breast
27,28,NCT02804477,validation and assessment of patient adherence to opioids for cancer pain using mmas 8 pain clinic,,Completed,No Results Available,chronic cancer pain,,validation and assessment of adherence to opioids for chronic cancer pain in pain clinic using morisky medication adherence scale 8|relationship of adherence to opioids with demographic characteristics,tata memorial centre,All,"18 Years to 80 Years   (Adult, Older Adult)",,330.0,Other,Observational,Observational Model: Case-Only|Time Perspective: Cross-Sectional,TataMC 1680,June 2016,November 2016,January 2017,"June 17, 2016",,"April 26, 2017","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT02804477,pain
28,29,NCT04351009,sentinel lymph node mapping and analysis in colon cancer using indocyanine green dye,,Recruiting,No Results Available,colon cancer,procedure: sentinel lymph node mapping,detection rate|upstaging rate|accuracy|negative predictive value|aberrant lymph node drainage,"asian institute of gastroenterology, india",All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,32.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,ICG001,"June 8, 2020","June 30, 2022","June 30, 2022","April 17, 2020",,"January 18, 2022","['asian institute of gastroenterology, hyderabad, telangana, india']",,https://ClinicalTrials.gov/show/NCT04351009,colon
29,30,NCT02302105,randomized trial of prostate only or pelvic rt in high risk prostate cancer,POP-RT,"Active, not recruiting",No Results Available,prostate cancer,radiation: igrt,biochemical disease free survival,tata memorial centre,Male,"Child, Adult, Older Adult",Not Applicable,224.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,POP-RT,"November 25, 2011","October 23, 2025","October 23, 2025","November 26, 2014",,"November 23, 2021","['dr vedang murthy, navi-mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT02302105,prostat
30,31,NCT03669432,to study the impact of radiation treatment after surgery in patient with locally advanced thyroid cancer.,THYRO-RT,"Active, not recruiting",No Results Available,thyroid cancer stage iv|radiation toxicity,radiation: intensity modulated radiotherapy|procedure: surgery alone,locoregional recurrence|acute toxicity|late toxicity,tata memorial hospital|department of atomic energy,All,"18 Years to 70 Years   (Adult, Older Adult)",Not Applicable,72.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1076,July 2013,July 2026,July 2026,"September 13, 2018",,"May 2, 2022","['gouri pantvaidya, mumbai, maharashtra, india']","""study protocol and statistical analysis plan"", https://clinicaltrials.gov/provideddocs/32/nct03669432/prot_sap_001.pdf|""informed consent form"", https://clinicaltrials.gov/provideddocs/32/nct03669432/icf_000.pdf",https://ClinicalTrials.gov/show/NCT03669432,thyroid
31,32,NCT05102240,development of clinically high efficient platforms for individualised treatment of cervix cancer,,Not yet recruiting,No Results Available,cervix cancer,,"generation of software for automated target delineation for cervix cancer|development and validation of normal tissue complication plots|identify ""high risk patient population"" that may benefit from intensification of treatment in future","tata memorial hospital|bhabha atomic research centre and indian institute of technology, mumbai.|erasmus medical center",Female,"18 Years to 90 Years   (Adult, Older Adult)",,1800.0,Other,Observational,Observational Model: Other|Time Perspective: Retrospective,TMC IRB 900787|CTRI/2021/08/035810,February 2022,September 2024,September 2024,"November 1, 2021",,"February 14, 2022","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT05102240,cervix
32,33,NCT03005860,effect of tiva propofol vs sevoflurane anaesthetic on serum biomarkers and on pbmcs in breast cancer surgery,,Unknown status,No Results Available,female breast cancer,"drug: 2,6-diisopropylphenol|drug: fluoromethyl hexafluoroisopropyl ether|drug: fentanyl citrate|drug: atracurium besylate","change in baseline levels versus 24 hour postoperative levels (tpre vs t24h ) of serum hif-1a and vegf-c in both groups.|change in levels of serum biomarkers hif-1a & vegf-c in patients with breast cancer undergoing resection surgery at other time points - intraoperative, at 2hr postoperative. ti, t2h in both groups.|change in levels of serum biomarkers tgf-β, il-17 ifn-g, tnf-a, il-6 and mmp-2 at the four time points in both groups.|measure expression of various lymphocyte subsets (cd3+ t cells, cd4+ helper t cells, cd8+ cytotoxic t cells, γδt cells, nk cells and b cells peripheral blood lymphocytes at four time points",tata memorial centre,Female,"18 Years and older   (Adult, Older Adult)",Not Applicable,40.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care",PN 219,February 2017,January 2018,February 2018,"December 29, 2016",,"January 16, 2017","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT03005860,breast
33,34,NCT03936218,goserelin 10.8mg injection in treatment of advanced prostate cancer,,Recruiting,No Results Available,advanced prostate cancer,drug: inj. goserelin (test) subcutaneously|drug: inj. zoladex (reference) subcutaneously,to evaluate and compare the pharmacodynamics of test product against reference product and establish non inferiority.,eurofarma laboratorios s.a.,Male,"18 Years to 75 Years   (Adult, Older Adult)",Phase 3,94.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,EF 161,"January 1, 2021","December 1, 2022","December 1, 2022","May 3, 2019",,"January 27, 2022","['mahatma gandhi cancer hospital & research institute, visakhapatnam, andhra pradesh, india']",,https://ClinicalTrials.gov/show/NCT03936218,prostat
34,35,NCT01814345,her 2 testing in indian patients with gastric cancer,,Terminated,No Results Available,gastric cancer,,incidence of her2 testing in gastric cancer,tata memorial hospital,All,"18 Years to 90 Years   (Adult, Older Adult)",,100.0,Other,Observational,Observational Model: Other|Time Perspective: Prospective,1077|Her 2 in gastric cancer,June 2013,February 2017,February 2017,"March 19, 2013",,"April 27, 2017","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT01814345,gastric
35,36,NCT03168880,"a randomized controlled trial of neoadjuvant weekly paclitaxel versus weekly paclitaxel plus weekly carboplatin in women with large operable or locally advanced, triple negative breast cancer",TNBC,"Active, not recruiting",No Results Available,triple negative breast cancer,drug: paclitaxel + carboplatin|drug: paclitaxel only,dfs|os,tata memorial hospital,Female,"18 Years to 70 Years   (Adult, Older Adult)",Phase 3,720.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CTRI/2012/07/002802,April 2010,"November 30, 2022","November 30, 2024","May 30, 2017",,"April 27, 2022","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT03168880,breast
36,37,NCT02867865,perioperative therapy preoperative chemotherapy versus chemoradiotherapy in locally advanced gall bladder cancers,POLCAGB,Recruiting,No Results Available,gall bladder cancers,drug: gemcitabine|drug: cisplatin|radiation: chemoradiation|procedure: petcect|procedure: laparoscopy,overall survival|surgical resection rate|progression free survival|number of participants with treatment related serious adverse events|deterioration free rate of quality of life (qol) scores at baseline and three monthly,tata memorial hospital,All,"19 Years to 80 Years   (Adult, Older Adult)",Phase 2|Phase 3,314.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1652,October 2016,August 2021,August 2022,"August 16, 2016",,"November 14, 2018","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT02867865,bladder
37,38,NCT02139605,"""phase iii randomized trial comparing d2 vs d3 lymphadenectomy with gastric cancer following neoadjuvant chemotherapy",,Recruiting,No Results Available,gastric cancer,procedure: d3 lymphadenectomy,primary endpoint:overall survival|disease-free survival,tata memorial centre,All,"18 Years to 85 Years   (Adult, Older Adult)",Not Applicable,400.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,87,"July 5, 2013",July 2025,July 2026,"May 15, 2014",,"April 27, 2022","['dr shailesh vinayak shrikhande, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT02139605,gastric
38,39,NCT03797482,a prospective evaluation of the peri-operative hypoxia in breast cancer,Hypoxia,Recruiting,No Results Available,breast cancer female,procedure: intra-operative tumor tissue biopsy,gene expression changes|immunohistochemistry for other markers,tata memorial hospital,Female,"18 Years and older   (Adult, Older Adult)",,500.0,Other,Observational,Observational Model: Other|Time Perspective: Prospective,Protocol 254,"November 27, 2017","July 30, 2022","November 30, 2022","January 9, 2019",,"April 27, 2022","['tata memorial hospital, mumbai, maharashtra, india']",,https://ClinicalTrials.gov/show/NCT03797482,breast
